City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Tilichiki,RU,2020-08-27 02:45:24,60.47,166.1,52.7,54,100,2.3
162,Coihaique,CL,2020-08-27 02:44:39,-45.58,-72.07,41.0,93,20,4.7
163,Longyearbyen,SJ,2020-08-27 02:38:41,78.22,15.64,39.2,69,75,13.87
164,Nikolsk,RU,2020-08-27 02:51:28,53.72,46.07,57.16,76,48,1.92
165,Viedma,AR,2020-08-27 02:43:00,-40.81,-63.0,48.33,80,98,8.23
166,Kamenka,RU,2020-08-27 02:44:18,51.32,42.77,60.55,49,0,5.99
167,Kogon,UZ,2020-08-27 02:51:28,39.72,64.55,64.4,72,0,6.93
168,Beitbridge,ZW,2020-08-27 02:51:28,-22.22,30.0,62.53,61,82,22.21
169,Tiksi,RU,2020-08-27 02:42:41,71.69,128.87,44.94,63,0,8.77
170,Beloha,MG,2020-08-27 02:42:46,-25.17,45.05,67.39,75,36,5.99
171,Zhigansk,RU,2020-08-27 02:42:46,66.77,123.37,55.65,39,86,1.28
172,Wattegama,LK,2020-08-27 02:51:28,6.8,81.48,82.4,83,20,5.82
173,Codrington,AU,2020-08-27 02:42:50,-38.27,141.97,61.32,64,24,19.39
174,Port-Gentil,GA,2020-08-27 02:42:59,-0.72,8.78,75.94,87,99,14.7
175,Comarapa,BO,2020-08-27 02:49:33,-17.9,-64.48,56.57,93,41,3.53
176,Yulara,AU,2020-08-27 02:42:38,-25.24,130.99,77.0,16,0,8.05
177,Nongstoin,IN,2020-08-27 02:51:29,25.52,91.27,72.97,83,30,3.85
178,Revuca,SK,2020-08-27 02:51:29,48.68,20.12,60.8,55,75,17.22
179,Nouadhibou,MR,2020-08-27 02:42:51,20.93,-17.03,78.8,78,0,2.24
180,Derzhavinsk,KZ,2020-08-27 02:51:29,51.1,66.32,65.35,73,0,5.08
181,Lorengau,PG,2020-08-27 02:43:54,-2.02,147.27,83.52,76,8,7.52
182,Peterhead,GB,2020-08-27 02:51:29,57.51,-1.8,51.8,87,90,5.82
183,Ambovombe,MG,2020-08-27 02:51:29,-25.17,46.08,68.59,78,44,3.36
184,Mildura,AU,2020-08-27 02:45:49,-34.2,142.15,69.01,31,0,13.87
185,Sakakah,SA,2020-08-27 02:46:00,29.97,40.21,78.8,26,0,11.41
186,Kaitangata,NZ,2020-08-27 02:41:02,-46.28,169.85,50.0,63,98,1.01
187,Straumen,NO,2020-08-27 02:51:29,63.87,11.3,51.01,100,85,4.7
188,Benghazi,LY,2020-08-27 02:51:29,32.12,20.07,77.99,77,3,13.27
